timestamp,open,high,low,close,volume,best_bid,best_ask
2026-03-08T09:00:35+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-08T10:00:28+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-08T11:00:29+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-08T12:00:37+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-08T13:00:26+00:00,0.53,0.53,0.53,0.53,0.0,,
2026-03-08T14:00:33+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-08T15:00:36+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-08T16:00:25+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-08T17:00:50+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-08T18:00:35+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-08T19:00:27+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-08T20:00:28+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-08T21:00:49+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-08T22:00:24+00:00,0.54,0.54,0.54,0.54,0.0,,
2026-03-08T23:00:26+00:00,0.545,0.545,0.545,0.545,0.0,,
2026-03-09T00:00:35+00:00,0.54,0.54,0.54,0.54,0.0,,
2026-03-09T01:00:30+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-09T02:00:25+00:00,0.53,0.53,0.53,0.53,0.0,,
2026-03-09T03:00:34+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-09T04:00:25+00:00,0.53,0.53,0.53,0.53,0.0,,
2026-03-09T05:00:25+00:00,0.53,0.53,0.53,0.53,0.0,,
2026-03-09T06:00:39+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-09T07:00:25+00:00,0.54,0.54,0.54,0.54,0.0,,
2026-03-09T08:00:25+00:00,0.54,0.54,0.54,0.54,0.0,,
2026-03-09T09:00:34+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-09T10:00:26+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-09T11:00:23+00:00,0.53,0.53,0.53,0.53,0.0,,
2026-03-09T12:00:34+00:00,0.54,0.54,0.54,0.54,0.0,,
2026-03-09T13:00:23+00:00,0.54,0.54,0.54,0.54,0.0,,
2026-03-09T14:00:24+00:00,0.525,0.525,0.525,0.525,0.0,,
